,Index,Text,Paraphrase,G-Paraphrase,G-Text,Wangchan_eng-eng,Sbert_eng-eng,mbert_eng-eng,Wangchan_th-th,Sbert_th-th,mbert_th-th,Sbert_th-en,mbert_th-eng
0,1680,กรณีที่มาร้องเรียนกรรมการสิทธิฯด้วยตัวเองมีแค่ 3 ราย นอกนั้นร้องเรียนมาทางองค์กรต่างๆ การเข้าถึงองค์กรปกป้องสิทธิฯจึงน้อยมาก,กรณีที่มาร้องเรียนต่อกรรมการสิทธิมนุษยชนด้วยตนเองนั้นมีเพียงแค่ 3 ราย ที่เหลือนั้นเป็นการร้องเรียนผ่านทางองค์กรต่างๆ จะเห็นได้ว่าการเข้าถึงองค์การปกป้องสิทธิมนุษยชนนั้นมีจำนวนน้อยมาก,"In the case of complaints to the human rights committee by themselves, only 3 people remaining are complaints through various organizations. It can be seen that there are very few access to the human rights protection organization.","In the case of complaining to the rights committee by himself, there are only 3 people. Other than that, the complaints in various organizations Access to the organization to protect the rights is therefore very small.",0.8827874064445496,0.8033792972564697,0.928423285484314,0.8528629541397095,0.8946599960327148,0.7976263165473938,0.7815920114517212,0.6141850352287292
1,1123,ขอให้พ่อแม่ผู้ปกครองเอาใจใส่ระมัดระวังดูแลเด็กอย่างใกล้ชิด,ขอความร่วมมือผู้ปกครองให้ระมัดระวังดูแลเด็กอย่างใกล้ชิด,Ask for cooperation with parents to be careful to take care of the children closely.,Ask parents to pay attention to take care of the children closely.,0.6840316653251648,0.7902870178222656,0.8522951602935791,0.8814423680305481,0.8676433563232422,0.726222574710846,0.7637977600097656,0.7516589164733887
2,1416,ตนคิดว่า ความเสียหายย่อมจะเกิดขึ้นได้ในพื้นที่เชียงแสนในอนาคต,เขาคิดว่า ความเสียหายอาจเกิดขึ้นได้ในอนาคตที่พื้นที่เชียงแสน,He thinks that damage can occur in the future in Chiang Saen.,They think that the damage will occur in the Chiang Saen area in the future.,0.8382531404495239,0.884587287902832,0.9261490106582642,0.7763105630874634,0.9046525359153748,0.8272140026092529,0.6144468784332275,0.6924331188201904
3,1187,เขาไม่ได้สังเกตว่า มีการนอนทับซ้อนกันหรือเปล่า เพราะอยู่ห่างจากรถมาก,เขาไม่ได้สังเกตว่า มีการนอนทับกันหรือไม่ เนื่องจากอยู่ห่างจากบริเวณรถยนต์มาก,He didn't notice that Have you lying over it? Due to being very far from the car area,He didn't notice that Is there a stack of sleep? Because it is very far from the car,0.6915198564529419,0.817581295967102,0.7219295501708984,0.7600635290145874,0.9414951205253601,0.8365437984466553,0.5619699358940125,0.7081934809684753
4,1092,คาดว่าจะมีการรวบรวมหลักฐานและยื่นคัดค้านการจดสิทธิบัตรดังกล่าว,คาดการณ์ว่าจะมีการรวบรวมหลักฐานและยื่นเรื่องไม่เห็นด้วยกับการจดสิทธิบัตรดังกล่าว,It is predicted that the evidence will be collected and submitted disagreement with the said patent.,It is expected that evidence will be collected and submitted to the said patent.,0.872084379196167,0.5898598432540894,0.9817891120910645,0.557486891746521,0.949437141418457,0.9002725481987,0.413207471370697,0.7998310923576355
5,1039,ซึ่ง กกต.ได้เคยชี้ในการเลือกตั้งท้องถิ่นว่าจะกระทำการจูงใจก่อนการเลือกตั้ง 60 วันไม่ได้,ซึ่งกกต.ได้เคยชี้แจงในการเลือกตั้งท้องถิ่นมาก่อนว่าจะกระทำการจูงใจ 60 วันก่อนการเลือกตั้งไม่ได้,Which the Election Commission had explained in the local election before that 60 days before the election,Which the Election Commission has pointed out in the local election that it cannot be motivated before the 60 -day election,0.9317108392715454,0.3759005069732666,0.9340620636940002,0.8364793062210083,0.9211321473121643,0.9596161246299744,0.41347450017929077,0.7680467367172241
6,1350,แต่ปีที่แล้วชาวบ้านกะเหรี่ยงเขาไปอธิษฐานกันที่ริมแม่น้ำไม่ให้มีการสร้างเขื่อน,แต่อย่างไรก็ตามเมื่อปีที่แล้วเหล่าชาวบ้านชาวกระเหรี่ยงนั้นก็ไปอธิฐานไม่ให้มีการสร้างเขื่อนเกิดขึ้น ณ ริมแม่น้ำ,"However, last year, the Karen villagers went to pray for the construction of a dam to occur at the river.","But last year, the Karen villagers went to pray at the river from the construction of the dam.",0.8990740776062012,0.8359625339508057,0.9075145721435547,0.5213474035263062,0.837634801864624,0.8452354669570923,0.4543443024158478,0.6639773845672607
7,1301,หากพบเห็นกลุ่มคนร้าย หรือ พฤติกรรม ที่ต้องสงสัยว่าจะก่อให้เกิดเหตุร้ายขึ้น,ถ้าเห็นกลุ่มคนร้ายหรือพฤติกรรมที่เสี่ยงต่อการก่อให้เกิดเหตุร้ายขึ้น,If you see a group of criminals or behaviors that are at risk of causing disaster,If you see a group of criminals or suspicious behavior that will cause a disaster,0.8682063817977905,0.9461723566055298,0.9625867605209351,0.8049768209457397,0.950319766998291,0.8041543960571289,0.7870204448699951,0.6518921852111816
8,1247,นักศึกษาไม่ได้ยื่นหนังสือเนื่องจากไม่มีตัวแทนรัฐมนตรีออกมารับ,นักศึกษาไม่ได้ส่งหนังสือให้เพราะไม่มีผู้แทนรัฐมนตรีออกมารับ,Students do not send books because there are no minister's representatives coming out.,Students do not submit a letter because there is no representative of the minister.,0.7333863377571106,0.7550145387649536,0.7445396184921265,0.46362799406051636,0.9595615863800049,0.9439292550086975,0.7289845943450928,0.6229754686355591
9,1538,การจับกุมลงโทษข้าราชการชั้นผู้น้อยที่ทุจริตไม่ช่วยยับยั้งการคอร์รัปชั่นได้ ในประเทศไทย,ในประเทศไทยนั้น การจับกุมและลงโทษข้าราชการชั้นผู้น้อยที่กระทำการทุจริตนั้นไม่สามารถช่วยทำให้การคอร์รัปชั่นนั้นหายไปได้,In Thailand The arrest and punishment of a minority official who committed corruption cannot help the corruption disappear.,The arrest of the corruption officials do not help inhibit corruption in Thailand.,0.6330784559249878,0.5396395921707153,0.9458150267601013,0.8796379566192627,0.9214632511138916,0.5467135906219482,0.515385627746582,0.5798435211181641
10,1459,ในช่วงที่เลี้ยงลูก จะดุร้าย และคอยปกป้องลูกไม่ให้ปลาหรือสัตว์ร้ายชนิดอื่นเข้าใกล้ฝูงลูกปลา รายงานวิจัยจาวบ้าน,ในระยะที่เลี้ยงดูลูก จะมีนิสัยค่อนข้างดุร้าย และคอยปกป้องลูกไม่ให้ปลาหรือสัตว์ร้ายอื่นๆเข้าใกล้ฝูงลูกปลา รายงานจากวิจัยชาวบ้าน,During the raising children Will have quite fierce habits And protect the children from fish or other beasts near the flock of fish Report from villagers research,"During raising children, it will be fierce and protect the children from fish or other beasts near the flock of fish. Research report",0.8412643671035767,0.7489623427391052,0.9186890125274658,0.8811861872673035,0.9078269600868225,0.9404305219650269,0.38594555854797363,0.7829834222793579
11,1158,โครงการสร้างเขื่อนในจีนส่งผลกระทบภูมิภาคแม่น้ำโขงแน่นอน,เป็นที่แน่นอนว่าโครงการสร้างเขื่อนในประเทศจีนนั้นจะส่งผลกระทบต่อประเทศในภูมิภาคแม่น้ำโขง,It is certain that the dam construction project in China will affect the country in the Mekong River region.,Dam construction project in China will definitely affect the Mekong River region.,0.8329492807388306,0.8927075862884521,0.9518308043479919,0.6538578867912292,0.8350832462310791,0.8677685856819153,0.6724221706390381,0.810808002948761
12,1226,รัฐมนตรีว่าการกระทรวงกลาโหม ขอให้ประชาชนอย่าตื่นตระหนกกับข่าวลือว่า จะมีการก่อความไม่สงบครั้งใหญ่ในพื้นที่ภาคใต้,รัฐมนตรีว่าการกระทรวงกลาโหม ขอให้ประชาชนอย่าตื่นตกใจกับข่าวลือที่ว่า จะมีการก่อเหตุร้ายครั้งใหญ่ในพื้นที่ภาคใต้,Minister of Defense Ask the public not to panic about the rumors that There will be a major disaster in the southern region.,Minister of Defense Ask the public not to panic with the rumors that There will be a major insurgency in the southern region.,0.9571771621704102,0.9274337291717529,0.9474756717681885,0.933869481086731,0.9470031261444092,0.9908648729324341,0.42597487568855286,0.6735128164291382
13,1192,และกรณีคนสูญหายกว่า 40 คนนั้นทางประเทศไทยก็กำลังตรวจสอบอยู่เช่นกัน,และในขณะนี้ประเทศไทยก็กำลังดำเนินการตรวจสอบกรณีผู้สูญหายกว่า 40 คนอยู่เช่นกัน,"And at this time, Thailand is also investigating the case of more than 40 people.","And in the case of more than 40 people lost, Thailand is also checking.",0.7509567737579346,0.7984762191772461,0.952088475227356,0.7910309433937073,0.8955301642417908,0.9010366201400757,0.5216554999351501,0.5409706830978394
14,1193,และขณะนี้ประเด็นสิทธิมนุษยชนก็กำลังเป็นประเด็นที่ทั่วโลกให้ความสำคัญมากขึ้น,และประเด็นเรื่องสิทธิมนุษยชนนั้นเป็นประเด็นที่ทั้งโลกกำลังให้ความสำคัญกันมากขึ้นอยู่ ณ ขณะนี้,And the issue of human rights is an issue that the whole world is focusing on now.,And now human rights issues are becoming more important throughout the world.,0.6208217144012451,0.8300118446350098,0.9562605619430542,0.806892991065979,0.9359075427055359,0.8995693922042847,0.815730094909668,0.6845197081565857
15,1103,สถานการณ์เป็นเช่นนี้จนเจ้าหนุ่ยคว้าเก้าอี้อบจ.สำเร็จ,สถานการณ์เช่นนี้ดำเนินมาจนเจ้าหนุ่ยสามารถคว้าเก้าอี้อบจ.ได้สำเร็จ,This situation has proceeded until Chao Nui was able to successfully grab the chair.,The situation is like this until Chao Nui grabbed the chair successfully.,0.7922799587249756,0.8985514640808105,0.8885917663574219,0.7838228940963745,0.8509571552276611,0.9654430150985718,0.36428844928741455,0.5439184904098511
16,1444,สถานการณ์มาถึงจุดที่ประชาชนบางส่วนรู้สึกว่าแทบไม่เหลือความเชื่อถือภาครัฐ,สถานการณ์ดำเนินมาถึงจุดที่ประชาชนจำนวนหนึ่งนั้นสิ้นความเชื่อถือในภาครัฐ,The situation proceeded to the point where a number of people died in the government.,The situation reached the point where some people felt that there was almost no trust in the government.,0.775047779083252,0.5648247003555298,0.9058433771133423,0.5732225179672241,0.9501045346260071,0.977938175201416,0.7824712991714478,0.7288965582847595
17,1210,เพราะถ้าขยายตัวมากไปกว่านี้จะทำให้การควบคุมการผลิตทำได้ค่อนข้างลำบาก,เหตุเนื่องจากหากมีการขยายตัวไปมากกว่านี้ จะทำให้ควบคุมการผลิตได้ค่อนข้างยาก,The reason is because if there is more expansion Will make the production control quite difficult,"Because if more expanded, this will make the production control quite difficult",0.7752246856689453,0.956509530544281,0.8360403180122375,0.8236520290374756,0.9620101451873779,0.9453936815261841,0.8449731469154358,0.860801100730896
18,1592,ลูกเสือชาวบ้านในสามจังหวัดภาคใต้เตรียมจัดการชุมนุมใหญ่ที่จังหวัดยะลา โดยคาดว่าจะมีผู้ร่วมชุมนุมหนึ่งแสนราย,เหล่าลูกเสือชาวบ้านในสามจังหวัดภาคใต้นั้นได้จัดเตรียมการชุมนุมใหญ่ที่จังหวัดยะลา โดยคาดการณ์ว่าจะมีผู้มาร่วมการชุมนุมประมาณหนึ่งแสนคน,"Scouts, villagers in the three southern provinces have prepared a large rally in Yala province. It is expected that there will be approximately one hundred thousand people attending the rally.",Boy Scouts in the three southern provinces prepare to organize a large rally in Yala province. Which is expected to have one hundred thousand people,0.7957383394241333,0.5608289241790771,0.829951286315918,0.9455796480178833,0.9595972895622253,0.9334155917167664,0.38915449380874634,0.4820343255996704
19,1608,อำนาจที่แท้จริงของผู้ปกครองไม่ต้องถูกตัดทอน แบ่งแยก ตีความและแอบอ้างโดยคนของรัฐอีกต่อไป,อำนาจอันแท้จริงของผู้ปกครองนั้นจะไม่ถูกลดทอน แบ่งแยก ตีความและแอบอ้างโดยคนของรัฐอีกต่อไป,"The true power of that parent will no longer be reduced, interpreted and impersonated by the people of the state anymore.","The true power of parents does not have to be cut, divided, interpreted and impersonated by the people of the state anymore.",0.789453387260437,0.5942646265029907,0.8569587469100952,0.9094715118408203,0.9222503304481506,0.9348593950271606,0.3854723572731018,0.7177548408508301
20,1033,ขณะที่การนำเข้าวัวจากประเทศเพื่อนบ้านเปลี่ยนแปลงไป,ขณะที่การนำเข้าโคจากประเทศเพื่อนบ้านมีการเปลี่ยนแปลง,While importing cows from neighboring countries have changed,While importing cows from neighboring countries,0.8944311141967773,0.8160274028778076,0.870609700679779,0.7561097741127014,0.6564778089523315,0.7476816773414612,0.4288075864315033,0.5958890318870544
21,1073,ไม่ได้หมายความว่า นายบิน ลาดิน หลบซ่อนตัวอยู่ในปากีสถาน นายอาร์มิเทจยังยอมรับว่า เขาไม่ทราบว่านายบิน ลาดินหลบซ่อนตัวในสถานที่ใด แต่ยืนยันว่า สหรัฐจะต้องตามล่าตัวนายบิน ลาดินให้ได้,ไม่ได้หมายความว่า นายบิน ลาดิน หลบซ่อนอยู่ในประเทศปากีสถาน นายอาร์มิเทจยังยอมรับว่า เขาไม่รู้ว่านายบิน ลาดินซ่อนตัวอยู่ที่ไหน แต่ยืนกรานว่าสหรัฐฯจะต้องตามล่าตัวนายบิน ลาดินให้ได้,Does not mean that Mr Bin La Din is hidden in Pakistan Mr Arimate also admitted that He doesn't know Mr. Bin. Where is La Din hiding? But insists that the United States must hunt down Mr. Bin La Din,"Does not mean that Mr Bin La Din is hiding in Pakistan Mr Arimate also admitted that He doesn't know Mr. Bin. Latin hiding in any place, but confirmed that the United States must hunt down Mr. Bin La Din.",0.8824579119682312,0.9365259408950806,0.9715518355369568,0.9754703640937805,0.9733812808990479,0.9318000078201294,0.6664562821388245,0.48277682065963745
22,1093,มีคนร้ายไม่ทราบจำนวน บุกปล้นปืนชุดรักษาความปลอดภัยของหมู่บ้าน (ชรบ.)ใน อ.สุคิริน,ชุดรักษาความปลอดภัยของหมู่บ้าน (ชรบ.)ใน อ.สุคิรินถูกคนร้ายไม่ทราบจำนวนบุกปล้นปืน,"Village security set (Chor.) In Sukirin District, being unknown by the number of criminals",There is an unknown number of criminals. Raid the safety gun of the village (Chor.) In Sukirin District,0.518950343132019,0.728523850440979,0.7367689609527588,0.9749201536178589,0.9231074452400208,0.86055588722229,0.5799235105514526,0.5366103649139404
23,1110,นายปริญญายอมรับว่า มีอาจารย์จำนวนไม่น้อยที่ไม่สบายใจที่จะเข้าพบนายกฯเพราะไม่แน่ใจว่าจะได้ประโยชน์อะไรจริงหรือไม่,นายปริญญายอมรับว่า มีอาจารย์จำนวนไม่น้อยที่ไม่สบายใจเพราะไม่แน่ใจว่าจะได้ประโยชน์อะไรจริงหรือไม่จากการเข้าพบนายกฯ,Mr. Parin acknowledged that There are quite a few professors who are uncomfortable because they are not sure whether they will benefit anything or not from meeting the prime minister.,Mr. Parin acknowledged that There are not many teachers who are uncomfortable to meet the prime minister because they are not sure whether they will benefit anything or not.,0.7778699994087219,0.6903640031814575,0.9690577983856201,0.9743223786354065,0.9597412347793579,0.9802939891815186,0.3829379677772522,0.6233792304992676
24,1128,ดร.วิชัยกล่าวและว่าสิ่งที่น่าห่วงคือปัญหาการควบคุมตรวจสอบจะอยู่ในความรับผิดชอบของใคร,ใครจะรับผิดชอบปัญหาการควบคุมตรวจสอบคือสิ่งที่น่าห่วง ดร.วิชัยกล่าว,Who will be responsible for the control and inspection problem is a concern. Dr. Wichai said,Dr. Wichai said that the concern is the problem of control and inspection will be in the responsibility of anyone.,0.6254205703735352,0.624617338180542,0.9291996955871582,0.6932811737060547,0.9188681840896606,0.8945415616035461,0.43946927785873413,0.8093013167381287
25,1132,ที่สำคัญร้านค้าเหล่านี้ถือเป็นแหล่งเศรษฐกิจที่หล่อเลี้ยงประชาชน,ที่สำคัญร้านค้าเหล่านี้ถือเป็นแหล่งเศรษฐกิจที่หล่อเลี้ยงประชาชน,"Importantly, these stores are considered an economic source that nourishes the people.","Importantly, these stores are considered an economic source that nourishes the people.",1.0000001192092896,0.9999998807907104,1.0,1.0,0.9999998807907104,0.9999998807907104,0.8083506226539612,0.7704494595527649
26,1142,นายอานันท์ ปันยารชุน อดีตนายกรัฐมนตรีกล่าววันนี้ อดีตนายกรัฐมนตรีกล่าวแสดงความห่วงใยสถานการณ์ความไม่สงบในพื้นที่ 3 จังหวัดชายแดนภาคใต้ โดยเห็นว่า รัฐบาลควรใช้ความยืดหยุ่นในการแก้ไขปัญหา,อดีตนายกรัฐมนตรี นายอานันท์ ปันยารชุน กล่าวแสดงความห่วงใยต่อสถานการณ์ความไม่สงบในพื้นที่ 3 จังหวัดชายแดนภาคใต้  และแสดงความคิดเห็นว่ารัฐบาลควรใช้ความยืดหยุ่นในการแก้ไขปัญหา,"Former Prime Minister, Anand Panyarachun, said concern about the unrest in the 3 southern border provinces. And commenting that the government should use flexibility to solve problems","Mr Anand Panyarachun, former Prime Minister, said today. Former Prime Minister said concern for the unrest in the 3 southern border provinces, with the government should use flexibility to solve problems.",0.9124332666397095,0.5830279588699341,0.9614835977554321,0.9102420210838318,0.9166702032089233,0.9232403635978699,0.5957304239273071,0.812279224395752
